epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.540591,0,7.58018,0,0,0,0,0,0,8.10498,0,0,0,0
2,0.976095,0,7.67874,0,0,0,0,0,0,8.11266,0,1.934e-05,1.934e-05,1.934e-05
3,1.40448,0,7.5762,0,0,0,0,0,0,8.11803,0,3.736e-05,3.736e-05,3.736e-05
4,1.82419,0,7.52042,0,0,0,0,0,0,8.12172,0,5.406e-05,5.406e-05,5.406e-05
5,2.24188,0,7.4759,0,0,0,0,0,0,8.12091,0,6.944e-05,6.944e-05,6.944e-05
6,2.6648,0,7.3938,0,0,0,0,0,0,8.12292,0,8.35e-05,8.35e-05,8.35e-05
7,3.09145,0,7.34859,0,0,0,0,0,0,8.12784,0,9.624e-05,9.624e-05,9.624e-05
8,3.51258,0,7.29947,0,0,0,0,0,0,8.13325,0,0.00010766,0.00010766,0.00010766
9,3.96083,0,7.26777,0,0,0,0,0,0,8.13694,0,0.00011776,0.00011776,0.00011776
10,4.38754,0,7.21202,0,0,0,0,0,0,8.1413,0,0.00012654,0.00012654,0.00012654
11,4.80562,0,7.19696,0,0,0,0,0,0,8.14719,0,0.000134,0.000134,0.000134
12,5.21921,0,7.06985,0,0,0,0,0,0,8.15647,0,0.00014014,0.00014014,0.00014014
13,5.65197,0,7.0425,0,0,0,0,0,0,8.16632,0,0.00014496,0.00014496,0.00014496
14,6.08073,0,6.89329,0,0,0,0,0,0,8.17639,0,0.00014846,0.00014846,0.00014846
15,6.50983,0,6.76091,0,0,0,0,0,0,8.18443,0,0.00015064,0.00015064,0.00015064
16,6.94443,0,6.68842,0,0,0,0,0,0,8.18745,0,0.0001515,0.0001515,0.0001515
17,7.36751,0,6.66378,0,0,0,0,0,0,8.18704,0,0.00015104,0.00015104,0.00015104
18,7.75338,0,6.51433,0,0,0,0,0,0,8.18704,0,0.00014926,0.00014926,0.00014926
19,8.17355,0,6.60647,0,0,0,0,0,0,8.17897,0,0.00014616,0.00014616,0.00014616
20,8.55688,0,6.47091,0,0,0,0,0,0,8.17897,0,0.00014174,0.00014174,0.00014174
21,8.9833,0,6.57415,0,0,0,0,0,0,8.16459,0,0.000136,0.000136,0.000136
22,9.38321,0,6.39266,0,0,0,0,0,0,8.16459,0,0.00012894,0.00012894,0.00012894
23,9.80358,0,6.37036,0,0,0,0,0,0,8.15402,0,0.00012056,0.00012056,0.00012056
24,10.2057,0,6.49197,0,0,0,0,0,0,8.15402,0,0.00011086,0.00011086,0.00011086
25,10.6296,0,6.29272,0,0,0,0,0,0,8.1477,0,9.984e-05,9.984e-05,9.984e-05
26,11.0888,0,6.52387,0,0,0,0,0,0,8.1477,0,8.75e-05,8.75e-05,8.75e-05
27,11.6132,0,6.56633,0,0,0,0,0,0,8.14995,0,7.384e-05,7.384e-05,7.384e-05
28,12.0399,0,6.19737,0,0,0,0,0,0,8.14995,0,5.886e-05,5.886e-05,5.886e-05
29,12.4674,0,6.19452,0,0,0,0,0,0,8.15254,0,4.256e-05,4.256e-05,4.256e-05
30,12.8527,0,6.1704,0,0,0,0,0,0,8.15254,0,2.494e-05,2.494e-05,2.494e-05
