epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.519416,0,7.58018,0,0,0,0,0,0,8.10498,0,0,0,0
2,0.968653,0,7.67874,0,0,0,0,0,0,8.11266,0,1.934e-05,1.934e-05,1.934e-05
3,1.39127,0,7.5762,0,0,0,0,0,0,8.11803,0,3.736e-05,3.736e-05,3.736e-05
4,1.7996,0,7.52042,0,0,0,0,0,0,8.12172,0,5.406e-05,5.406e-05,5.406e-05
5,2.27812,0,7.4759,0,0,0,0,0,0,8.12091,0,6.944e-05,6.944e-05,6.944e-05
6,2.72415,0,7.3938,0,0,0,0,0,0,8.12292,0,8.35e-05,8.35e-05,8.35e-05
7,3.18327,0,7.34859,0,0,0,0,0,0,8.12784,0,9.624e-05,9.624e-05,9.624e-05
8,3.65841,0,7.29947,0,0,0,0,0,0,8.13325,0,0.00010766,0.00010766,0.00010766
9,4.12409,0,7.26777,0,0,0,0,0,0,8.13694,0,0.00011776,0.00011776,0.00011776
10,4.54302,0,7.21202,0,0,0,0,0,0,8.1413,0,0.00012654,0.00012654,0.00012654
11,5.00311,0,7.19696,0,0,0,0,0,0,8.14719,0,0.000134,0.000134,0.000134
12,5.43416,0,7.06985,0,0,0,0,0,0,8.15647,0,0.00014014,0.00014014,0.00014014
13,5.86037,0,7.0425,0,0,0,0,0,0,8.16632,0,0.00014496,0.00014496,0.00014496
14,6.29748,0,6.89329,0,0,0,0,0,0,8.17639,0,0.00014846,0.00014846,0.00014846
15,6.76691,0,6.76091,0,0,0,0,0,0,8.18443,0,0.00015064,0.00015064,0.00015064
16,7.18062,0,6.68842,0,0,0,0,0,0,8.18745,0,0.0001515,0.0001515,0.0001515
17,7.60143,0,6.66378,0,0,0,0,0,0,8.18704,0,0.00015104,0.00015104,0.00015104
18,8.00264,0,6.51433,0,0,0,0,0,0,8.18704,0,0.00014926,0.00014926,0.00014926
19,8.46716,0,6.60647,0,0,0,0,0,0,8.17897,0,0.00014616,0.00014616,0.00014616
20,9.91815,0,6.47091,0,0,0,0,0,0,8.17897,0,0.00014174,0.00014174,0.00014174
21,10.4778,0,6.57415,0,0,0,0,0,0,8.16459,0,0.000136,0.000136,0.000136
22,10.9589,0,6.39266,0,0,0,0,0,0,8.16459,0,0.00012894,0.00012894,0.00012894
23,11.444,0,6.37036,0,0,0,0,0,0,8.15402,0,0.00012056,0.00012056,0.00012056
24,12.0623,0,6.49197,0,0,0,0,0,0,8.15402,0,0.00011086,0.00011086,0.00011086
25,12.5717,0,6.29272,0,0,0,0,0,0,8.1477,0,9.984e-05,9.984e-05,9.984e-05
26,12.951,0,6.52387,0,0,0,0,0,0,8.1477,0,8.75e-05,8.75e-05,8.75e-05
27,13.3951,0,6.56633,0,0,0,0,0,0,8.14995,0,7.384e-05,7.384e-05,7.384e-05
28,13.7895,0,6.19737,0,0,0,0,0,0,8.14995,0,5.886e-05,5.886e-05,5.886e-05
29,14.1949,0,6.19452,0,0,0,0,0,0,8.15254,0,4.256e-05,4.256e-05,4.256e-05
30,14.5749,0,6.1704,0,0,0,0,0,0,8.15254,0,2.494e-05,2.494e-05,2.494e-05
